                                                                            NAME                                                                                                ADDRESS           X          Y  DEMAND  START  END  SERVICE TIME          CLOSEST
66                                                                    Thịnh Phát                                   Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.692028  10.959482      23     30  220            15  DISTANCE_FROM_2
68                                                                Nguyễn Hữu Trí                               Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.642134  10.941946      31    270  350            15  DISTANCE_FROM_2
77                                        Công Ty TNHH Phụ Kiện Cửa Tân Hiệp Lợi                                      Đường Ttn05, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh  106.774077  10.879966      31     90  310            15  DISTANCE_FROM_2
78                        Công ty TNHH Sản Xuất Thương Mại Dịch Vụ Tân Toàn Bích                             Đường Nguyễn Đăng Khoa, Phường Thạch Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh  106.728147  10.903680      61    240  310            15  DISTANCE_FROM_2
92                    Chi Nhánh tại Miền Nam - Công ty Cổ Phần Thiết Kế Lục Giác                                 Tân Thới Nhất 12, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh  106.672367  11.001187      67    160  280            15  DISTANCE_FROM_2
111                                            Công ty Cổ Phần Việt Trường Giang                                  Dương Công Khi, Xã Xuânthới Sơn, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.984466  10.792870      28    160  300            15  DISTANCE_FROM_2
116                                                Công Ty TNHH Quân Vĩnh Phát                             Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam  106.706551  10.883996      12    160  300            15  DISTANCE_FROM_2
118                           Công ty TNHH Thiết Kế - Thi Công Nội Thất AV Decor                                                 Tl19, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh  106.861135  10.806832      25    260  330            15  DISTANCE_FROM_2
122                          Công ty Cổ Phần Xây Dựng Và Trang Trí Nội Thất ID&D                                                    Đường Vĩnh Phú 38, Thị xã Thuận An, Tỉnh Bình Dương  106.759562  10.975946      46    200  360            15  DISTANCE_FROM_2
123                                                               Xưởng Luân Mộc                                       Điện Biên Phủ, Phường 21, Quận Bình Thạnh, Thành phố Hồ Chí Minh  106.691433  10.979922      53    230  360            15  DISTANCE_FROM_2
129                                              Hiệp Phát (CH Nguyễn Thị Hương)                           Nguyễn Trọng Quyền, Phường Tân Thới Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh  106.728694  10.888199      14    240  380            15  DISTANCE_FROM_2
131                                                      Công ty TNHH BELA DECOR                                      Dương Đình Hội, Phước Long B, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.923474  10.866705      55     80  180            15  DISTANCE_FROM_2
135                                              Công Ty TNHH Xây Dựng Thế Tường                                      Đường Hà Đặc, Phường Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh  106.744765  10.869484      80    140  340            15  DISTANCE_FROM_2
143                                                             TK3 (Khánh Bình)                                         Khu phố Bình Chánh, Phường Khánh Bình, TX Tân Uyên, Bình Dương  106.805622  10.901605      53    200  350            15  DISTANCE_FROM_2
145                                       Công ty TNHH TM SX Vận Chuyển Hợp Phát                                     Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.711571  10.901158      12    120  310            15  DISTANCE_FROM_2
151                                                               TK1 (Thái Hòa)                                                                 XPVW+MJ4 Tan Uyen, Bình Dương, Vietnam  106.522397  11.183128      51    140  270            15  DISTANCE_FROM_2
159                                  Công ty TNHH Tư Vấn Thiết Kế & Xây Dựng DAT                               Đường Ql 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.720814  10.986354      23    180  240            15  DISTANCE_FROM_2
160                    Công ty TNHH Sản Xuất Thương Mại Đầu Tư Nội Thất Gia Phát                                     Đường Số 8, Phường Long Phước, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.676221  11.056099      52    160  220            15  DISTANCE_FROM_2
162                                Công ty TNHH Thương Mại Dịch Vụ Decor Sài Gòn                                  Đường ấp 5, Xã Xuân Thới Thượng, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.709404  10.883341      35    280  340            15  DISTANCE_FROM_2
165                                                              Xưởng Anh Trung                                        Đường Dt 743, Phường Thái Hòa, Thị xã Tân Uyên, Tỉnh Bình Dương  106.834484  10.899300      73    110  210            15  DISTANCE_FROM_2
171                                                Công ty Cổ Phần Signora Decor                                    Đường Quốc Lộ 1, Phường An Phú Đông, Quận 12, Thành phố Hồ Chí Minh  106.753543  10.862188      69    300  360            15  DISTANCE_FROM_2
172                                                           Công ty TNHH ANACA                              Đường ấp Đông 1-2, Xã Thới Tam Thôn, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.731763  10.980296      45    220  340            15  DISTANCE_FROM_2
183                      Công ty TNHH Đồ Gỗ Và Trang Trí Nội Thất Anh Thịnh Phát                                       Đường 1b, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.813316  10.868854      36    140  300            15  DISTANCE_FROM_2
0                        Công ty TNHH Xây Dựng Sản Xuất Thương Mại Mộc Kim Decor                                    Nữ Dân Công, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.569330  10.830792      24    270  380            15  DISTANCE_FROM_3
6                                                    Xưởng Anh Quang -0707365304                             Đường Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, Thành phố Hồ Chí Minh  106.650967  10.863150      15    300  370            15  DISTANCE_FROM_3
14                                           Công ty TNHH Phát Triển Phú Mỹ Hưng                                               Tôn Dật Tiên, Phú Mỹ Hưng, Quận 7, Thành phố Hồ Chí Minh  106.564781  10.819086      76     30  380            15  DISTANCE_FROM_3
20                                                              TK3 (Khánh Bình)                                         Khu phố Bình Chánh, Phường Khánh Bình, TX Tân Uyên, Bình Dương  106.585539  10.805349      72     70  150            15  DISTANCE_FROM_3
22                          Công Ty TNHH Xây Dựng Và Trang Trí Nội Thất Phát Huy                           Đường Bộ Đội An Điền, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.639460  10.871600      76    280  350            15  DISTANCE_FROM_3
26                                            Công ty Cổ Phần Xây Dựng Coteccons                                Đường Nguyễn Bỉnh Khiêm, Phường Đông Hòa, Thị xã Dĩ An, Tỉnh Bình Dương  106.635094  10.900067      39     60  300            15  DISTANCE_FROM_3
27                                            Công ty Cổ Phần Xây Dựng Coteccons                                Đường Nguyễn Bỉnh Khiêm, Phường Đông Hòa, Thị xã Dĩ An, Tỉnh Bình Dương  106.571631  10.792680      66    100  210            15  DISTANCE_FROM_3
29                                                 Công ty TNHH Hyphen Furniture                                         Nhi Bình 12, Xã Nhị Bình, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.589532  10.815900      70    160  330            15  DISTANCE_FROM_3
32                      Công Ty Cổ Phần Xây Dựng Và Thi Công Nội Thất Thuận Phát                             Nguyễn Duy Trinh, Phường Trường Thạnh, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.531917  10.872473      54     30  280            15  DISTANCE_FROM_3
34                                         Công Ty TNHH Một Thành Viên N&T House                           Đường Tô Vĩnh Diện, Phường Tân Phước Khánh, Thị xã Tân Uyên, Tỉnh Bình Dương  106.601638  10.824997      24     80  280            15  DISTANCE_FROM_3
37                                         Công ty TNHH Xây Dựng Nội Thất Hoa Gỗ                                Đường Đông Thạnh 2, Xã Đông Thạnh, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.585488  10.809494      16    100  200            15  DISTANCE_FROM_3
38                       Công ty TNHH Đồ Gỗ Và Trang Trí Nội Thất Anh Thịnh Phát                                       Đường 1b, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.566181  10.831255      29    290  360            15  DISTANCE_FROM_3
40                                              Công ty Cổ Phần Chiến Công Group           Kcn Vĩnh Lộc, Đường Phan Văn Đối, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh  106.601325  10.920371      47     70  140            15  DISTANCE_FROM_3
41                                    Công ty TNHH Thương Mại Dịch Vụ Việt Hoàng           Kcn Vình Lộc, Đường Phan Văn Đối, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh  106.625515  10.818912      27    130  190            15  DISTANCE_FROM_3
42                          Công ty Cổ Phần Thương Mại và Xuất Nhập Khẩu Ái Linh           Kcn Vĩnh Lộc, Đường Phan Văn Đối, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh  106.580217  10.823526      79    100  210            15  DISTANCE_FROM_3
44                                          Công ty TNHH Xây Dựng Thương Mại L&K                               Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.631441  10.923016      42    190  340            15  DISTANCE_FROM_3
45                                     Công ty Cổ Phần Xây Dựng Quốc Tế Việt Hàn                                                   Đường Dt743, Bình Hòa, Thị xã Dĩ An, Tỉnh Bình Dương  106.643053  10.833310      29    210  290            15  DISTANCE_FROM_3
46                                         Công Ty Cổ Phần Sản Xuất Nội Thất DLT                                 Nguyễn Văn Trà, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.641657  10.831094      26    150  300            15  DISTANCE_FROM_3
47                              Công Ty TNHH Xây Dựng Và Trang Trí Nội Thất Ruby                                       Lê Ngung, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh  106.709310  10.873432      12    250  350            15  DISTANCE_FROM_3
49                      Công ty TNHH Một Thành Viên Gỗ Công Nghiệp Ngô Thanh Tâm                                                   Võ Văn Kiệt, Phường 7, Quận 6, Thành phố Hồ Chí Minh  106.651776  10.904071      40     90  170            15  DISTANCE_FROM_3
50                                                      Công ty TNHH Hưng Nghiệp                                                    Hậu Giang, Phường 11, Quận 6, Thành phố Hồ Chí Minh  106.629380  10.871707      64     70  150            15  DISTANCE_FROM_3
53                                              Công ty TNHH Nội Thất Mộc Võ Gia                                          Bình Phú, Phường Tam Phú, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.579233  10.813356      79    260  350            15  DISTANCE_FROM_3
56                                                  Công ty TNHH Xây Dựng Á Châu                                      Đường Số 3, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh  106.612409  10.847246      17     90  290            15  DISTANCE_FROM_3
58                             CÔNG TY TNHH THIẾT KẾ VÀ THI CÔNG NỘI THẤT BMHOME                                                                  Bình Quới, Phường 28, Quận Bình Thạnh  106.568529  10.796764      54    150  210            15  DISTANCE_FROM_3
59                                                Công ty TNHH Sensehome Concept                                         Đường Bình Mỹ, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh  106.613683  10.820671      22     10  110            15  DISTANCE_FROM_3
60                                  Công ty TNHH Xây Dựng Trang Trí Nội Thất V&V                                    Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh  106.612620  10.839672      64    300  360            15  DISTANCE_FROM_3
63                                  Công ty TNHH Cơ Khí Chính Xác MK Engineering                          Đường Nguyễn Khuyến, Phường Tân Hiệp, Thị Xã Tân Uyên, T Bình Dương, Việt Nam  106.629153  10.868712      64     80  370            15  DISTANCE_FROM_3
64                                                          Anh Quyền - Trần Gia                                      Đường Dt 7-4, Xã Đông Thạnh, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.678263  10.869038      74    180  340            15  DISTANCE_FROM_3
65                                 Công ty TNHH Trang Trí Nội Thất Đại Phú Thành         Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh  106.631733  10.825333      76    130  210            15  DISTANCE_FROM_3
67                                         Công ty TNHH Nội Thất Việt Hùng Thịnh               Đường Số 7 Khu Nhà ở Thương Mại Đường Sắt 1, Thống Nhất 2, Thị xã Dĩ An, Tỉnh Bình Dương  106.698592  10.860237      15     80  160            15  DISTANCE_FROM_3
69        Công ty TNHH Xây Dựng Thương Mại và Trang trí Nội Thất Phước Nhật Long                                 Lũy Bán Bích, Phường Tân Thái Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh  106.626805  10.891194      15    150  340            15  DISTANCE_FROM_3
70                                          Xưởng Nội Thất Anh Nhật - 0936076739                                      Dương Bạch Mai, Phường Tân Mai, Thành phố Biên Hòa, Tỉnh Đồng Nai  106.612504  10.873525      75    140  200            15  DISTANCE_FROM_3
71                                                              TK3 (Khánh Bình)                                         Khu phố Bình Chánh, Phường Khánh Bình, TX Tân Uyên, Bình Dương  106.619213  10.833076      54    130  210            15  DISTANCE_FROM_3
72                                                               Nguyễn Sơn Tuấn                                                             Đường Đồng Lân, Xã Bà Điểm, Huyện Hooc Môn  106.666641  10.879604      79     60  300            15  DISTANCE_FROM_3
73                                                                TK1 (Thái Hòa)                                                                 XPVW+MJ4 Tan Uyen, Bình Dương, Vietnam  106.689089  10.896384      65    100  160            15  DISTANCE_FROM_3
74                                                      Công ty Cổ Phần SQ Decor                          Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.589226  10.859634      34     70  130            15  DISTANCE_FROM_3
79                           Công ty TNHH Thương Mại Thiết Kế Nội Thất Minh Long                                                                  Bình Quới, Phường 28, Quận Bình Thạnh  106.697030  10.868383      46    140  220            15  DISTANCE_FROM_3
82                Công ty TNHH Một Thành Viên Tư Vấn Thiết Kế Kiến Trúc HG Decor                                    Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh  106.579765  10.815127      11     80  150            15  DISTANCE_FROM_3
83                                  Công Ty TNHH Thiết Kế Xây Dựng Kis Homeville            Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh  106.490775  10.862916      17    180  300            15  DISTANCE_FROM_3
84                                     Công ty TNHH Trang Trí Nội Thất Gia Khang                                         Đường Cống Lở, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh  106.568082  10.886386      10     70  150            15  DISTANCE_FROM_3
85                                                                TK1 (Thái Hòa)                                                                 XPVW+MJ4 Tan Uyen, Bình Dương, Vietnam  106.567917  10.864848      53    170  290            15  DISTANCE_FROM_3
90                                                          Nội Thất Nguyễn Hưng                             Đường Nguyễn Thị Sáng, Xã Đông Thạnh, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.684767  10.879692      71    270  350            15  DISTANCE_FROM_3
93                                                                TK1 (Thái Hòa)                                                                 XPVW+MJ4 Tan Uyen, Bình Dương, Vietnam  106.695070  10.884691      53    140  340            15  DISTANCE_FROM_3
96                             Công ty TNHH Đầu Tư Thương Mại Dịch Vụ Golden Sea                                      Bùi Công Trừng, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh  106.583799  10.818989      25    120  190            15  DISTANCE_FROM_3
101                                                 Công ty TNHH Phát Triển Opan                                      Đường Số 8, Phường Linh Xuân, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.611879  10.858697      67    120  280            15  DISTANCE_FROM_3
107                                                               TK1 (Thái Hòa)                                                                 XPVW+MJ4 Tan Uyen, Bình Dương, Vietnam  106.654044  10.918839      56    200  260            15  DISTANCE_FROM_3
108                   Công Ty Cổ Phần Sản Xuất Xây Dựng Thương Mại Nội Thất HAMI                                 Đường Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.626849  10.906968      67     50  130            15  DISTANCE_FROM_3
109                                                               SD2 (Tân Bình)                                               RJ95+5V Ho Chi Minh City, Thành phố Hồ Chí Minh, Vietnam  106.567644  10.781034      21    190  260            15  DISTANCE_FROM_3
110                                                 Công ty TNHH Nội Thất NaLiPu                                                                 Mỹ Hạnh Nam, Đức Hòa Long An, Việt Nam  106.568420  10.781266      74    210  310            15  DISTANCE_FROM_3
115                                                         Cơ Sở Mộc Quang Viên                               Đường Lê Văn Lương, Phường Nhơn Đức, Huyện Nhà Bè, Thành phố Hồ Chí Minh  106.607272  10.874233      34    240  300            15  DISTANCE_FROM_3
119                                                               SD2 (Tân Bình)                                               RJ95+5V Ho Chi Minh City, Thành phố Hồ Chí Minh, Vietnam  106.564511  10.865955      73    310  370            15  DISTANCE_FROM_3
120                                               Công ty TNHH Ván Ép Trung Hiếu                                   Phạm Hùng, Phường Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.646462  10.906633      69    200  290            15  DISTANCE_FROM_3
125                                                              SD1 (Tân Hương)                                             162 Tân Hương, Tân Quý, Tân Phú, Ho Chi Minh City, Vietnam  106.503117  10.979010      62    150  230            15  DISTANCE_FROM_3
126                                           Công ty TNHH Thương Mại Nghệ Thuật                               Lương Thế Vinh, Phường Tân Thái Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh  106.696301  10.861119      31    210  330            15  DISTANCE_FROM_3
127                   Công Ty Cổ Phần Sản Xuất Xây Dựng Thương Mại Nội Thất HAMI                                 Đường Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.620931  10.880492      22    110  200            15  DISTANCE_FROM_3
128                                       Doanh Nghiệp Tư Nhân Hương Sắc Sài Gòn                                                     Đường 59, Phường 10, Quận 6, Thành phố Hồ Chí Minh  106.630701  10.882371      11    260  330            15  DISTANCE_FROM_3
130                                                               TK1 (Thái Hòa)                                                                 XPVW+MJ4 Tan Uyen, Bình Dương, Vietnam  106.592452  10.861730      55     60  140            15  DISTANCE_FROM_3
132                                  Công Ty Cổ Phần Và Dịch Vụ Lâu Đài Ven Sông                                             Đường Bến Văn Đồn, Phường 1, Quận 4, Thành phố Hồ Chí Minh  106.596123  10.854617      74    290  360            15  DISTANCE_FROM_3
138                                                        Chị Châu - 0909175062                                                                          Lê Văn Sỹ , Phường 14, Quận 3  106.643138  10.888162      36    100  220            15  DISTANCE_FROM_3
139                                                  Công ty TNHH TQT ARCHITECTS                                                            Đường 33, Huyện Chơn Thành, Tỉnh Bình Phước  106.712501  10.869388      45    130  300            15  DISTANCE_FROM_3
140                          Công ty TNHH Xây Dựng Trang Trí Nội Thất Hoàng Thảo                                Đường Linh Hòa Tự, Xã Đa Phước, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.663257  10.913296      63    200  380            15  DISTANCE_FROM_3
141                    Công ty TNHH Sản Xuất Thương Mại Và Dịch Vụ Quảng Cáo SDC                                      Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh  106.597974  10.953469      48    140  200            15  DISTANCE_FROM_3
142                                   Công ty TNHH Sản Xuất Nội Thất Green Style                                          Võ Thị Đầy, Xã Nhị Bình, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.638280  10.879071      57    130  220            15  DISTANCE_FROM_3
144                                                   Công ty TNHH Nội Thất DONI                                Đường Huỳnh Thị Na, Xã Đông Thạnh, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.621416  10.859075      28     90  270            15  DISTANCE_FROM_3
149                                  Công ty TNHH Quảng Cáo & Nội Thất Vĩnh Hưng                                                   Võ Văn Kiệt, Phường 7, Quận 6, Thành phố Hồ Chí Minh  106.593657  10.794740      71    270  340            15  DISTANCE_FROM_3
154                                                 Công ty TNHH Nội Thất Ddecor                                Đường Số 9, Phường Tăng Nhơn Phú B, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.694131  10.846469      57     50  190            15  DISTANCE_FROM_3
156                                              Công ty TNHH SX & TM Bách Thịnh                                    Đường ấp Mới 2, X Trung Chánh, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.683655  10.886204      47    200  260            15  DISTANCE_FROM_3
157                                               Công ty TNHH MaxHouse Việt Nam                                   Đường Vĩnh Phú 41, Phường Vĩnh Phú, Thị xã Thuận An, Tỉnh Bình Dương  106.622358  10.818636      42    250  320            15  DISTANCE_FROM_3
158                                          Công ty TNHH Xây Dựng Nguyễn Nguyên                                         Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh  106.678763  10.876640      36    100  360            15  DISTANCE_FROM_3
161                                              Công ty TNHH Tư Vấn & XD Maison                                    Bưng ông Thoàn, Phường Phú Hữu, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.505952  10.978457      10    260  320            15  DISTANCE_FROM_3
163                              Công ty TNHH Xây Dựng Thương Mại Dịch Vụ TRENDS                              Đường Bùi Công Trừng, Xã Đông Thạnh, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.692949  10.887279      40    220  300            15  DISTANCE_FROM_3
166                                 Công ty Cổ Phần Kiến Trúc Nội Thất Kim Cương                                          Đường Tx25, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh  106.557362  10.841095      29    270  330            15  DISTANCE_FROM_3
170                                                          Công ty TNHH Sĩ Tấn                                    Phạm Văn Chèo, Thị Trấn Củ Chi, Huyện Củ Chi, Thành phố Hồ Chí Minh  106.589625  10.860020      51     40  350            15  DISTANCE_FROM_3
177                                                  Công ty TNHH ONP - Việt Nam                  Đường Hàm Nghi, Phường Tam Phước, Phường Tam Phước, Thành phố Biên Hòa, Tỉnh Đồng Nai  106.574966  10.796424      60    210  290            15  DISTANCE_FROM_3
179                                               Công ty TNHH Cẩm Thạch Sài Gòn                                                     Lô Số 3, Đường 5c, Huyện Nhơn Trạch, Tỉnh Đồng Nai  106.602619  10.857199      46     50  260            15  DISTANCE_FROM_3
180                               Công Ty Cổ Phần Thiết Kế Và Xây Dựng Uni House                                          Trường Lưu, Phường Long Trường, Quận 9, Thành phố Hồ Chí Minh  106.577011  10.816271      21     70  260            15  DISTANCE_FROM_3
181                       Công ty TNHH Sản Xuất Thương Mại Dịch Vụ Hoàng Sơn Lâm                                         Tam Châu, Phường Tam Bình, Quận Thủ Đức, Thành phố Hồ Chí Minh  106.576393  10.812785      48    120  200            15  DISTANCE_FROM_3
182                                                         Xưởng Bảo Phong Phát                               Đường Lê Nguyên Đạt, Phường Long Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai  106.580721  10.820501      80     40  300            15  DISTANCE_FROM_3
189                Công Ty TNHH Thiết Kế Thi Công Nội - Ngoại Thất Az-Home Decor                                    Đường Nhị Bình 3, Xã Nhị Bình, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.513301  10.974585      12     10   80            15  DISTANCE_FROM_3
190                                                   Công Ty TNHH FIT Furniture                                Đường Huỳnh Thị Na, Xã Đông Thạch, Huyện Hóc Môn, Thành phố Hồ Chí Minh  106.553427  10.781709      55    160  220            15  DISTANCE_FROM_3
192                                                         Xưởng Mộc Duy Nguyễn                                          Đường Ht13, Phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh  106.575847  10.812302      47    180  290            15  DISTANCE_FROM_3
193                               Công ty TNHH Sản Xuất Thương Mại Việt Đức Home                                              Bình Thung, Phường Bình An, Thị xã Dĩ An, Tỉnh Bình Dương  106.588533  10.892561      25    220  290            15  DISTANCE_FROM_3
194                                                                  Mẫu A Quang  68/20 Tân Chánh Hiệp 35, Phường Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh  106.578346  10.854982      66    150  260            15  DISTANCE_FROM_3
195                                                   Nguyễn Văn Tú - 0981901007                                                       Đường DT743C, Phường Dĩ An, Bình Dương, Việt Nam  106.705152  10.860158      10     30  270            15  DISTANCE_FROM_3
196                                                              SD1 (Tân Hương)                                             162 Tân Hương, Tân Quý, Tân Phú, Ho Chi Minh City, Vietnam  106.667295  10.880521      59     30  340            15  DISTANCE_FROM_3
197                                      Công ty TNHH Trang Trí Nội Thất AnThome                                                Khu Phố Thanh Ba, Thị Trấn Cần Giuộc, Long An, Việt Nam  106.657805  10.879048      34     70  170            15  DISTANCE_FROM_3
48                                    Công ty TNHH Thương Mại Dịch Vụ Việt Hoàng           Kcn Vình Lộc, Đường Phan Văn Đối, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh  106.731978  11.055939      22    110  180            15  DISTANCE_FROM_4
55   Công ty Cổ Phần Đầu Tư Xây Dựng - Xuất Nhập Khẩu Trang Trí Nội Thất Gia Huy                                     Đường Võ Văn Bích, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh  106.854420  10.957962      60    110  200            15  DISTANCE_FROM_4
